2016 ICT Losses by Home Office ,,,,,
,Home Office ,,,,
Device / Incident,,,,,
Lost Blackberries / Mobile Phones,14,13,27,19,73
Stolen Blackberries / Mobile Phones,2,1,9,1,13
Lost Laptops,2,2,3,3,10
Stolen Laptops,5,5,4,7,21
Lost Removable Media,0,0,1,1,2
Stolen Removable Media,0,0,0,0,0
Recovered Blackberries / Mobiles,3,0,1,1,5
Recovered Laptops,0,0,1,0,1
,,,,,
NOTES:,,,,,
,,,,,
Removable media = CD/ DVD/ USB Memory Stick/ Memory Card/,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
