	city	color	doors	prise	daytime	neighborhood	car_age	found
0	Saint Petersburg	white	5+	200-300k	morning	good	3	found
1	Saint Petersburg	blue	2	1000-2000k	evening	bad	2	found
2	Moscow	white	5+	1000-2000k	night	bad	2	found
3	Saint Petersburg	red	2	150-200k	morning	bad	2	not found
4	Yekaterinburg	white	2	2000k+	night	good	4	found
5	Moscow	blue	4	150-200k	morning	good	5+	found
6	Saint Petersburg	black	2	500-700k	evening	bad	3	found
7	Novosibirsk	grey	4	200-300k	afternoon	mixed	2	not found
8	Kazan	blue	5+	200-300k	afternoon	bad	4	not found
9	Moscow	black	4	300-500k	afternoon	bad	3	found
10	Chelyabinsk	white	5+	300-500k	night	good	1	not found
11	Saint Petersburg	black	4	700-1000k	morning	bad	4	found
12	Novosibirsk	white	5+	700-1000k	evening	good	1	found
13	Novosibirsk	red	4	150-200k	afternoon	good	4	not found
14	Moscow	red	5+	1000-2000k	evening	bad	2	found
15	Yekaterinburg	blue	2	300-500k	morning	bad	1	found
16	Novosibirsk	red	2	150-200k	night	bad	3	found
17	Yekaterinburg	blue	5+	700-1000k	night	good	5+	found
18	Novosibirsk	black	2	200-300k	night	mixed	2	not found
19	Novosibirsk	grey	5+	700-1000k	morning	bad	3	not found
20	Saint Petersburg	red	5+	300-500k	evening	mixed	3	found
21	Samara	grey	5+	200-300k	night	good	1	not found
22	Yekaterinburg	black	4	300-500k	evening	bad	3	not found
23	Chelyabinsk	blue	4	150-200k	evening	good	1	not found
24	Kazan	black	5+	1000-2000k	night	good	1	not found
25	Novosibirsk	white	5+	300-500k	night	bad	2	found
26	Moscow	grey	2	700-1000k	evening	good	2	not found
27	Saint Petersburg	black	5+	500-700k	evening	bad	3	found
28	Yekaterinburg	red	5+	200-300k	morning	bad	5+	found
29	Novosibirsk	blue	2	200-300k	afternoon	mixed	1	not found
30	Samara	blue	5+	2000k+	evening	bad	4	found
31	Saint Petersburg	grey	5+	700-1000k	morning	good	3	not found
32	Chelyabinsk	black	2	700-1000k	night	good	3	found
33	Novosibirsk	black	2	2000k+	afternoon	bad	5+	not found
34	Saint Petersburg	black	4	300-500k	evening	good	1	found
35	Kazan	red	5+	150-200k	night	bad	3	found
36	Samara	red	2	2000k+	morning	bad	3	not found
37	Chelyabinsk	white	2	500-700k	afternoon	bad	3	found
38	Kazan	white	2	300-500k	night	bad	3	found
39	Kazan	grey	2	1000-2000k	evening	good	2	found
40	Moscow	blue	5+	1000-2000k	evening	mixed	5+	found
41	Chelyabinsk	blue	5+	700-1000k	morning	bad	1	not found
42	Novosibirsk	white	2	700-1000k	morning	good	2	not found
43	Moscow	blue	4	500-700k	evening	bad	5+	not found
44	Chelyabinsk	grey	2	500-700k	morning	good	3	found
45	Chelyabinsk	blue	5+	500-700k	evening	mixed	5+	not found
46	Chelyabinsk	grey	4	700-1000k	morning	bad	5+	found
47	Moscow	black	2	1000-2000k	night	bad	4	found
48	Moscow	blue	4	700-1000k	morning	good	1	found
49	Samara	red	5+	700-1000k	morning	bad	2	found
50	Chelyabinsk	white	4	300-500k	afternoon	good	2	found
51	Moscow	red	4	200-300k	night	bad	4	found
52	Kazan	blue	5+	200-300k	night	good	1	not found
53	Saint Petersburg	blue	2	300-500k	morning	mixed	4	found
54	Yekaterinburg	grey	5+	300-500k	afternoon	bad	1	not found
55	Chelyabinsk	white	5+	700-1000k	afternoon	bad	1	found
56	Kazan	grey	4	2000k+	morning	bad	5+	not found
